,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
10,Wonder Woman 1984,2020,PG-13,25 Dec 2020,151 min,"Action, Adventure, Fantasy",Patty Jenkins,"Patty Jenkins, Geoff Johns, Dave Callaham","Gal Gadot, Chris Pine, Kristen Wiig","In 1984, after saving the world in Wonder Woman (2017), the immortal Amazon warrior, Princess Diana of Themyscira, finds herself trying to stay under the radar, working as an archaeologist at the Smithsonian Museum. With the memory of the brave U.S. pilot, Captain Steve Trevor, etched on her mind, Diana Prince becomes embroiled in a sinister conspiracy of global proportions when a transparent, golden-yellow citrine gemstone catches the eye of the power-hungry entrepreneur, Maxwell Lord. Now, as a dear old friend from the past miraculously enters the picture, and Barbara Minerva, Diana's insecure gemologist colleague gives in to desire, suddenly, deceit, greed, and false promises catapult Maxwell into the limelight. More and more, cataclysmic events push the world to the brink, and emotionally vulnerable Diana must address a cruel dilemma. Can mighty Wonder Woman save humankind once again?","English, Arabic, Russian, Mandarin","United States, United Kingdom, Spain",9 wins & 38 nominations,https://m.media-amazon.com/images/M/MV5BYTlhNzJjYzYtNGU3My00ZDI5LTgzZDUtYzllYjU1ZmU0YTgwXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,5.4,"238,147",tt7126948,movie,25 Dec 2020,"$46,534,027",N/A,N/A,True,
11,Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Mystery",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie","Pushing thirty, and defined by a hideous crime involving her bosom friend, Nina, emotionally scarred medical school dropout, Cassie, knows firsthand that some wounds never heal. Leading an uneventful existence, still living with her parents, waiting tables at a cheap coffee shop to earn a living, Cassie has found the perfect way to deal with the painful past. Dressed to kill, at night, Cassie frequents the local bars and nightclubs, pretending to be dead-drunk, utterly helpless and vulnerable. And, every week, lethally beautiful Cassie is on the prowl for all sorts of nocturnal predators and other wolves in sheep's clothing, who are unaware that, sometimes, the hunter can become the prey. Then, Ryan, a kindly and caring old classmate who is the bee's knees, enters the picture, and just like that, Cassie wants out. However, everybody knows that breaking bad habits is easier said than done. Could Ryan be the one?",English,"United Kingdom, United States",Won 1 Oscar. 110 wins & 171 nominations total,https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.5,"138,901",tt9620292,movie,15 Jan 2021,"$6,460,965",N/A,N/A,True,
12,Pinocchio,2020,N/A,N/A,30 min,"Animation, Short",James Fotopoulos,James Fotopoulos,N/A,N/A,N/A,United States,N/A,N/A,[],N/A,N/A,N/A,tt12851932,movie,N/A,N/A,N/A,N/A,True,
13,DNA,2020,TV-MA,26 Dec 2020,90 min,Drama,Maïwenn,"Mathieu Demy, Maïwenn","Fanny Ardant, Louis Garrel, Dylan Robert","A woman with close ties to a beloved Algerian grandfather who protected her from a toxic home life as a child. When he dies, it triggers a deep identity crisis as tensions between her extended family members escalate revealing new depths of resentment and bitterness.",French,"France, Algeria",7 nominations,https://m.media-amazon.com/images/M/MV5BYjgxODk0OTktNDQ3Zi00NDM5LTkzZjQtNDE3ZGRmOTIyMDFlXkEyXkFqcGdeQXVyNTcxNjk0MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,5.9,931,tt7600716,movie,26 Dec 2020,N/A,N/A,N/A,True,
14,Sylvie's Love,2020,PG-13,23 Dec 2020,114 min,"Drama, Music, Romance",Eugene Ashe,Eugene Ashe,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria","Years after their summer romance comes to an end, an aspiring television producer and a talented musician cross paths, only to find their feelings for each other never changed. With their careers taking them in different directions, they must choose what matters most.",English,United States,Nominated for 1 Primetime Emmy. 4 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNTI2ODkyODEtM2EzNy00OWE1LWIwODUtM2JhYzg0NTZkMDY4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.8,"5,400",tt9827834,movie,23 Dec 2020,N/A,N/A,N/A,True,
15,"Ariana Grande: Excuse Me, I Love You",2020,TV-MA,21 Dec 2020,97 min,"Documentary, Music","Story Syndicate, Paul Dugdale",N/A,"Ariana Grande, Rim Taya Shawki",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTFjNTA1MzUtZDE0Yy00MWE1LTkzMmUtMTNhYzQxMDA4NTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,6.5,"2,319",tt13615386,movie,21 Dec 2020,N/A,N/A,N/A,True,
16,Fatale,2020,R,18 Dec 2020,102 min,Thriller,Deon Taylor,David Loughery,"Hilary Swank, Michael Ealy, Mike Colter","After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmI2OThhMmYtZjVjOC00NWE3LWIwOGItMWM1MTEzMGNiOTM4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.4,"8,399",tt8829830,movie,08 Jan 2021,"$6,306,897",N/A,N/A,True,
17,Ma Rainey's Black Bottom,2020,R,18 Dec 2020,94 min,"Drama, Music",George C. Wolfe,"Ruben Santiago-Hudson, August Wilson","Viola Davis, Chadwick Boseman, Glynn Turman","Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary ""Mother of the Blues,"" Ma Rainey (Academy Award® winner Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studio's claustrophobic rehearsal room, ambitious trumpeter Levee (Chadwick Boseman) - who has an eye for Ma's girlfriend and is determined to stake his own claim on the music industry - spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives. Adapted from two-time Pulitzer Prize winner August Wilson's play, MA RAINEY'S BLACK BOTTOM celebrates the transformative power of the blues and the artists who refuse to let society's prejudices dictate their worth. Directed by George C. Wolfe and adapted for the screen by Ruben Santiago-Hudson, the film is produced by Fences Oscar® nominees Denzel Washington and Todd Black. Colman Domingo, Glynn Turman, Michael Potts, Taylour Paige and Dusan Brown co-star alongside Grammy® winner Branford Marsalis' score.",English,United States,Won 2 Oscars. 80 wins & 188 nominations total,https://m.media-amazon.com/images/M/MV5BNTBlZGY1OTAtN2RjMC00ZThiLWFiZmUtN2VkOGMxNmMyYjQwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,6.9,"47,754",tt10514222,movie,18 Dec 2020,N/A,N/A,N/A,True,
18,Monster Hunter,2020,PG-13,18 Dec 2020,103 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka","Milla Jovovich, Tony Jaa, Ron Perlman","While on a peril-laden mission to track a missing team of soldiers, hard-as-nails U.S. Army Ranger Captain Natalie Artemis and her elite brothers-in-arms find themselves transported to an alternate universe. There, trapped in a barren desert-world rife with formidable adversaries and subterranean sand-dwelling beasts, for the first time, Captain Artemis and her squad are shocked to discover that their otherwise destructive military weapons are now entirely inadequate to take down the enemy. But, unexpectedly, in their desperate battle for survival, the team stumbles upon a mysterious local huntsman whose superior combat skills allow him to stay one step ahead of the mighty creatures. Is there an escape from the prison realm? Above all, what does it take to become a fearless monster hunter?",English,"Germany, United States, Japan, China, South Africa, Canada",1 nomination,https://m.media-amazon.com/images/M/MV5BOGU3NTFmNjYtODc3Ny00MWEzLWI3M2ItZjE3NDgwMTI0MzkzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.3,"49,596",tt6475714,movie,N/A,"$15,162,470",N/A,N/A,True,
19,Belovy,1992,N/A,N/A,60 min,Documentary,Viktor Kosakovskiy,Viktor Kosakovskiy,"Anna Fyodorovna Belova, Mikhail Fyodorovich Belov, Vasiliy Fyodorovich Belov","""Belovy (the Belovs)"" is a breathtaking portrait of a troubled peasant family. It's poetry in the form of a documentary that won many prizes. Beautifully shot in vintage black and white, the film tells the story of two times widow Anna Belova who lives together with her brother Mikhail. Blending the two personalities, Kosakovsky characterizes the true Russian soul: she is the rational worker, honest and strong - he is the drunken poet, the idealist, his philosophy fades into radical nonsense time after time.",Russian,Russia,3 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BOWZiNjgwOTYtM2Y2My00YzZjLTk3ZDgtYjAyODljYzU2NzU0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,356,tt0106385,movie,N/A,N/A,N/A,N/A,True,
20,Museum Town,2019,N/A,10 Mar 2019,76 min,Documentary,Jennifer Trainer,"Noah Bashevkin, Pola Rapaport, Jennifer Trainer","Laurie Anderson, John Barrett, Simeon Bruner",A rural American town suffering economically from factory closures finds an unconventional route to recovery with the help of MASS MoCA.,N/A,N/A,1 nomination,https://m.media-amazon.com/images/M/MV5BNjBhMWY1NWMtOTYyNS00ZTUwLTg5ZDAtNGM3YjA2ODE3NmMzXkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.7,15,tt9617464,movie,N/A,N/A,N/A,N/A,True,
21,Nasrin,2020,Not Rated,01 Oct 2020,92 min,Documentary,Jeff Kaufman,Jeff Kaufman,"Olivia Colman, Ann Curry, Shirin Ebadi","Secretly filmed in Iran for over two years, NASRIN is an immersive portrait of human rights activist and political prisoner Nasrin Sotoudeh and Iran's remarkably resilient women's rights movement. Nasrin has long fought for the rights of women, children, LGBT prisoners, religious minorities, journalists and artists, and those facing the death penalty. She was arrested in 2018 for representing women who protested Iran's mandatory hijab law and sentenced to 38 years in prison, plus 148 lashes. Narrated by Academy Award-winning actress Olivia Colman and featuring acclaimed filmmaker Jafar Panahi, Nobel Peace Prize laureate Shirin Ebadi, journalist Ann Curry, exiled women's rights activist Mansoureh Shojaee, and Nasrin Sotoudeh. With an original song by Tony Award-winning composers Lynn Ahrens and Stephen Flaherty with lyrics based on Nasrin's letters from prison to her children; performed by 4-time Grammy winner, Angélique Kidjo.","Persian, English",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzE0NzM5ODgtMmM4Mi00ZDhiLWEwNWItY2ZhMmExN2ZhMzY1XkEyXkFqcGdeQXVyNDkzNjgwNDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,8.6,68,tt13065642,movie,06 Jan 2021,N/A,N/A,N/A,True,
22,The Art of Political Murder,2020,TV-14,16 Dec 2020,89 min,"Documentary, Crime",Paul W. Taylor,Francisco Goldman,"Jack Palladino, Álvaro Arzú, Rodolfo Mendoza","An investigation into the truth behind the murder of Guatemalan Bishop, Juan Gerardi, who was killed in 1998 just days after trying to hold the country's military accountable for the atrocities committed during its civil war.","English, Spanish",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNjcxNGYwMmEtM2QxZi00MTUzLTlkNmYtYmVhYjg2NDBhYmY3XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,213,tt10313876,movie,N/A,N/A,N/A,N/A,True,
23,The Last Blockbuster,2020,TV-14,15 Dec 2020,86 min,Documentary,Taylor Morden,Zeke Kamm,"Lauren Lapkus, Sandi Harding, Ken Tisher","A documentary on the last remaining Blockbuster Video, located in Bend, Oregon.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNjRhY2YwYzItOGY4My00ZjNjLTg4NDktN2YyNGM1ODA5ZGRmXkEyXkFqcGdeQXVyNzE5OTQzMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.7,"4,915",tt8704802,movie,N/A,N/A,N/A,N/A,True,
24,Giving Voice,2020,PG-13,11 Dec 2020,87 min,Documentary,"James D. Stern, Fernando Villena",N/A,"Mary Alice, Annette Bening, Glenn Close",This film follows the annual August Wilson Monologue competition and the thousands of high schoolers who enter the competition for the opportunity to perform on Broadway.,English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMjA4ZGJjMDMtODkxMi00NWNhLTkwMzQtNmFiMWU4ZTc3NmU2XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,252,tt11394338,movie,N/A,N/A,N/A,N/A,True,
25,Wander Darkly,2020,R,11 Dec 2020,97 min,Drama,Tara Miele,Tara Miele,"Sienna Miller, Diego Luna, Beth Grant","Despite going through the motions of milestone events similar to couples at their stage, such as buying a house together, and having their first child - a daughter named Ellie - unmarried Matteo and Adrienne could probably not admit to either him/herself or to the other that he/she is truly happy with their life together. The emerging problems by these milestones only highlight existing problems, such as the issue of exes, and the intense dislike and mistrust between her mother Patty and him. A traumatic incident leads to both going on a metaphysical journey of their lives together - their future based on how their life has been so far, and a revisiting of their past and what key moments actually meant in knowing what they know now. Each goes into this journey with a different mindset due to their different beliefs of their current state of being. The questions become whether they will emerge from the journey at all, and if they do whether the journey itself will lead them to a path of true happiness as a couple/family.","English, Spanish",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNjNkNmU2M2EtMzEwZS00M2E5LWFlOTYtZjU3ZGQ5MTU0YTM4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,5.8,"1,263",tt8902978,movie,11 Dec 2020,N/A,N/A,N/A,True,
26,Safety,2020,PG,11 Dec 2020,122 min,"Biography, Drama, Sport",Reginald Hudlin,Nick Santora,"Jay Reeves, Javien Jackson, Thaddeus J. Mixson","The story of Ray-Ray McElrathbey, a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYTQ1ODNlY2YtZTU5OS00NjcxLTkwOTgtN2QzNWViOWIzMDMzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.8,"3,451",tt10649016,movie,11 Dec 2020,N/A,N/A,N/A,True,
27,The Bee Gees: How Can You Mend a Broken Heart,2020,TV-MA,12 Dec 2020,111 min,"Documentary, Biography, Music",Frank Marshall,Mark Monroe,"Barry Gibb, Maurice Gibb, Robin Gibb","An exploration of the history of the Bee Gees, featuring revealing interviews with oldest brother Barry Gibb, and archival interviews with the late twin brothers Robin and Maurice.",English,United States,Won 1 Primetime Emmy. 3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYmU4ODM2NmEtMThjNC00ZmE2LWEzNmUtODc4MDQ5YThjZTBjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.1,"4,068",tt9850386,movie,12 Dec 2020,N/A,N/A,N/A,True,
28,Small Axe,2020,TV-MA,20 Nov 2020,60 min,"Drama, History",N/A,N/A,"Naomi Ackie, Gary Beadle, Khali Best",Small Axe is based on the real-life experiences of London's West Indian community and is set between 1969 and 1982.,English,United Kingdom,Nominated for 1 Primetime Emmy. 23 wins & 80 nominations total,https://m.media-amazon.com/images/M/MV5BNjBhNzcyNTAtOTA0YS00ZTg5LTg2ODEtMmVhZTMwN2RiOGE4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"3,824",tt3464896,series,,,,,True,1
