,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
10,Dabangg 3,,0,Rachel Saltz,‘Dabangg 3’ Review: A Hero From the School of Knock ’em Hard,"In this Bollywood action flick, Salman Khan is a one-man wrecking crew. When not knocking heads, he dances.",2019-12-22,2019-12-20,2020-01-09 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/22/movies/dabangg-3-review.html', 'suggested_link_text': 'Read the New York Times Review of Dabangg 3'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/23/arts/22dabangg-pic/22dabangg-pic-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
11,Invisible Life,R,1,Glenn Kenny,‘Invisible Life’ Review: Sisterhood Is Stronger Than Patriarchy,Two sisters living in 1950s Brazil are kept apart by their father but can’t be spiritually separated.,2019-12-19,2019-12-20,2020-01-19 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/19/movies/invisible-life-review.html', 'suggested_link_text': 'Read the New York Times Review of Invisible Life'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/20/arts/19invisible1/merlin_165921981_d6d35f3f-0493-4325-8db0-eeb56f76f26a-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
12,Togo,PG,0,Jason Bailey,"‘Togo’ Review: A Man, His Dogs and a Very Bad Storm",Willem Dafoe stars in the latest addition to Disney’s sled dog canon.,2019-12-19,2019-12-20,2019-12-19 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/19/movies/togo-review.html', 'suggested_link_text': 'Read the New York Times Review of Togo'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/11/10/arts/10disney-togo/10disney-togo-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
13,She's Missing,,0,Jeannette Catsoulis,‘She’s Missing’ Review: Gone Girl,An ominous atmosphere of impermanence marks this story of a New Mexico waitress who embarks on a perilous search for her vanished friend.,2019-12-19,2019-12-20,2019-12-19 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/19/movies/shes-missing-review.html', 'suggested_link_text': ""Read the New York Times Review of She's Missing""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/17/arts/shesmissing1/merlin_165922386_35a6fb5f-f2c8-4202-b7c5-114ce62ea9f4-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
14,Cats,PG,0,Manohla Dargis,"‘Cats’ Review: They Dance, They Sing, They Lick Their Digital Fur",Tom Hooper’s movie is not a catastrophe. It’s not even an epic hairball.,2019-12-19,2019-12-20,2020-01-19 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/18/movies/cats-review.html', 'suggested_link_text': 'Read the New York Times Review of Cats'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/20/arts/00cats-1/00cats-1-mediumThreeByTwo440-v3.jpg', 'height': 140, 'width': 210}"
15,Star Wars: The Rise of Skywalker,PG-13,0,A.O. Scott,‘Star Wars: The Rise of Skywalker’ Review: Revolution No. 9,"Resistance is futile. Rey, Finn and Poe are back; so is Kylo Ren. No spoilers here.",2019-12-18,2019-12-20,2020-01-18 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/18/movies/star-wars-the-rise-of-skywalker-review.html', 'suggested_link_text': 'Read the New York Times Review of Star Wars: The Rise of Skywalker'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/18/arts/18riseofskywalker1/18riseofskywalker1-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
16,6 Underground,R,0,Glenn Kenny,‘6 Underground’ Review: Action by the Numbers,"Ryan Reynolds plays a billionaire who’s part Deadpool, part Elon Musk and all Michael Bay hero in this relentless action movie.",2019-12-13,2019-12-13,2019-12-20 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/13/movies/6-underground-review.html', 'suggested_link_text': 'Read the New York Times Review of 6 Underground'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/11/arts/sixunderground1/sixunderground1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
17,Black Christmas,PG-13,0,Ben Kenigsberg,‘Black Christmas’ Review: Horror for a New Era of Campus Debates,"Sophia Takal’s film isn’t particularly scary, but it has plenty on its mind.",2019-12-13,2019-12-13,2020-01-03 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/black-christmas-review.html', 'suggested_link_text': 'Read the New York Times Review of Black Christmas'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/12/arts/blackchristmas1/blackchristmas1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
18,Richard Jewell,R,1,A.O. Scott,‘Richard Jewell’ Review: The Wrong Man,Clint Eastwood’s take on the frenzied aftermath of the Olympic Park bombing is flawed and fascinating.,2019-12-12,2019-12-13,2020-01-10 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/richard-jewell-review.html', 'suggested_link_text': 'Read the New York Times Review of Richard Jewell'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/13Movie-Refer-RichardJewell/13Movie-Refer-RichardJewell-mediumThreeByTwo210-v3.jpg', 'height': 140, 'width': 210}"
19,Uncut Gems,R,1,Manohla Dargis,‘Uncut Gems’ Review: Adam Sandler’s Punch-Drunk Hustle,"In the Safdie brothers’ new movie, Sandler plays a jewelry-store owner and compulsive gambler running for his life.",2019-12-12,2019-12-25,2020-01-12 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/uncut-gems-review.html', 'suggested_link_text': 'Read the New York Times Review of Uncut Gems'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/13uncut-1/13uncut-1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
20,A Hidden Life,PG-13,0,A.O. Scott,"‘A Hidden Life’ Review: Refusing Hitler, Embracing Beauty",Terrence Malick’s film telling the story of an Austrian farmer’s heroic defiance of the Nazis is gorgeous and at times frustrating.,2019-12-12,2019-12-13,2020-01-12 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/a-hidden-life-review.html', 'suggested_link_text': 'Read the New York Times Review of A Hidden Life'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/12/arts/12hiddenlife1/12hiddenlife1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
21,Chinese Portrait,,0,,"‘Chinese Portrait’ Review: A Snapshot of a Country, Artfully Composed","A visual take on the vast expanse of a land and its people, compiled over 10 years by Wang Xiaoshuai.",2019-12-12,2019-12-13,2019-12-23 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/chinese-portrait-review.html', 'suggested_link_text': 'Read the New York Times Review of Chinese Portrait'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/12chinese-portraitpix/12chinese-portraitpix-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
22,Seberg,R,0,Jeannette Catsoulis,‘Seberg’ Review: Woman on Fire,Kristen Stewart is a picture of gorgeous disintegration in this speculative look at the F.B.I.’s persecution of the actress Jean Seberg.,2019-12-12,2019-12-13,2019-12-20 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/seberg-review-kristen-stewart.html', 'suggested_link_text': 'Read the New York Times Review of Seberg'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/seberg1/seberg1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
23,The Great War,R,0,Ben Kenigsberg,‘The Great War’ Review: A Segregated Black Unit Fights in World War I,"While the movie takes inspiration from real events, it doesn’t have the budget or craft it needs.",2019-12-12,,2019-12-20 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/the-great-war-review.html', 'suggested_link_text': 'Read the New York Times Review of The Great War'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/12/arts/greatwar1/greatwar1-mediumThreeByTwo210.png', 'height': 140, 'width': 210}"
24,Jumanji: The Next Level,PG-13,0,Glenn Kenny,"‘Jumanji: The Next Level’ Review: New Faces Join the Gang, Back in the Wild","Dwayne Johnson, Kevin Hart, Jack Black and Karen Gillan return for this sequel, and they’ve got Danny DeVito and Danny Glover in tow.",2019-12-12,2019-12-13,2020-01-12 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/jumanji-the-next-level-review.html', 'suggested_link_text': 'Read the New York Times Review of Jumanji: The Next Level'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/12jumanji-art/12jumanji-art-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
25,The Death and Life of John F. Donovan,R,0,Jeannette Catsoulis,‘The Death & Life of John F. Donovan’ Review: A Child Is Torn,Xavier Dolan’s muddled tale of a closeted celebrity and his much younger fan is shackled by an awkward structure and a fragmented vision.,2019-12-12,2019-12-13,2019-12-12 12:04:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/the-death-and-life-of-john-f-donovan-review.html', 'suggested_link_text': 'Read the New York Times Review of The Death and Life of John F. Donovan'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/10/arts/death2/death2-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
26,Bombshell,R,0,Manohla Dargis,‘Bombshell’ Review: Blind Ambition and Blond Sedition at Fox News,"Charlize Theron, Nicole Kidman and Margot Robbie star in a story about the fall of Roger Ailes.",2019-12-12,2019-12-20,2020-01-12 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/12/movies/bombshell-review.html', 'suggested_link_text': 'Read the New York Times Review of Bombshell'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/11/arts/00bombshell-1/merlin_165535035_7e432360-13d9-4769-ad76-af28b17a0ec6-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
27,Cunningham,PG,1,Brian Seibert,"‘Cunningham’ Review: Exploring Space, Time and Dance in 3-D",Alla Kovgan’s documentary about  Merce Cunningham shows aspects of his choreography that can be difficult to convey on conventional film.,2019-12-11,2019-12-13,2020-01-11 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/11/movies/cunningham-documentary-review.html', 'suggested_link_text': 'Read the New York Times Review of Cunningham'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/13/arts/10cunningham-doc1/10cunningham-doc1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
28,A Christmas Prince: The Royal Baby,,0,Helen T. Verongos,‘A Christmas Prince: The Royal Baby’ Review: The Title Says It All,"This holiday film on Netflix, the third in a series, is both flimsy and flat, but if royal romance is what you crave, you’ve found it.",2019-12-06,2019-12-05,2019-12-06 17:14:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/06/movies/a-christmas-prince-the-royal-baby-review.html', 'suggested_link_text': 'Read the New York Times Review of A Christmas Prince: The Royal Baby'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/07/arts/06CHRISTMAS-PRINCEPIX/06CHRISTMAS-PRINCEPIX-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
29,Dead Kids,,0,Natalia Winkelman,‘Dead Kids’ Review: A Flashy Portrait of Teen Angst Gone Awry,This thriller from Netflix follows four teenage misfits in the Philippines who plot to kidnap the school bully for ransom.,2019-12-06,,2019-12-06 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/06/movies/dead-kids-review-netflix.html', 'suggested_link_text': 'Read the New York Times Review of Dead Kids'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/20/arts/deadkids1/deadkids1-mediumThreeByTwo210.png', 'height': 140, 'width': 210}"
30,Portrait of a Lady on Fire,R,1,A.O. Scott,‘Portrait of a Lady on Fire’ Review: A Brush With Passion,"In Céline Sciamma’s new film, Adèle Haenel and Noémie Merlant play an aristocrat and an artist falling in love in 18th-century France.",2019-12-05,2020-02-14,2019-12-17 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/portrait-of-a-lady-on-fire-review.html', 'suggested_link_text': 'Read the New York Times Review of Portrait of a Lady on Fire'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/05/arts/05portrait1/05portrait1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
31,The Aeronauts,PG-13,1,Jeannette Catsoulis,‘The Aeronauts’ Review: High Anxiety,Felicity Jones and Eddie Redmayne reach for the skies in this charming Victorian ballooning adventure.,2019-12-05,2019-12-06,2019-12-20 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/the-aeronauts-review.html', 'suggested_link_text': 'Read the New York Times Review of The Aeronauts'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/aeronauts1/aeronauts1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
32,In Fabric,R,1,Glenn Kenny,‘In Fabric’ Review: The Dress Is Possessed. But It Was on Sale.,"Peter Strickland’s fourth feature is a horror story about, yes, a garment, but it’s his most engrossing work yet.",2019-12-05,2019-12-06,2019-12-29 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/in-fabric-review.html', 'suggested_link_text': 'Read the New York Times Review of In Fabric'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/05infabric/merlin_165236229_65bb74f2-4c9c-4b6c-9b32-e90b582b4656-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
33,Midnight Family,,1,Manohla Dargis,‘Midnight Family’ Review: The Night Stalkers of Mexico City,"In this outstanding documentary, a family of emergency medical workers struggles both to save lives and to make a living.",2019-12-05,2019-12-06,2020-01-04 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/04/movies/midnight-family-review.html', 'suggested_link_text': 'Read the New York Times Review of Midnight Family'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/00midnight-family/00midnight-family-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
34,A German Youth,,0,Ben Kenigsberg,"‘A German Youth’ Review: Lights, Camera, Guerrilla Tactics?",The documentary traces the origins of the Red Army Faction with a dizzying assemblage of archival footage.,2019-12-05,2019-10-11,2019-12-06 05:24:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/a-german-youth-review.html', 'suggested_link_text': 'Read the New York Times Review of A German Youth'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/05germanyouth/05germanyouth-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
35,The Disappearance of My Mother,,0,A.O. Scott,‘The Disappearance of My Mother’ Review: Son’s View of a Model Parent,"Benedetta Barzini, couture star and cultural critic, reluctantly faces her son’s camera in a tender and harsh documentary.",2019-12-05,2019-12-06,2019-12-25 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/the-disappearance-of-my-mother-review.html', 'suggested_link_text': 'Read the New York Times Review of The Disappearance of My Mother'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/06DISAPPEARANCE-1/06DISAPPEARANCE-1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
36,Little Joe,,0,Glenn Kenny,"‘Little Joe’ Review: This Flower Can Dispense Joy, but It Has Demands",Jessica Hausner’s new sci-fi film about a flower engineered to release a potent antidepressant evokes “Invasion of the Body Snatchers.”,2019-12-05,2019-12-06,2020-01-03 17:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/little-joe-review.html', 'suggested_link_text': 'Read the New York Times Review of Little Joe'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/06littlejoe-artsub/06littlejoe-artsub-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
37,The Wolf Hour,R,0,Jeannette Catsoulis,‘The Wolf Hour’ Review: Panic in the City,"In this psychological drama, Naomi Watts plays an agoraphobic writer slowly unraveling in a blistering New York City apartment.",2019-12-05,2019-12-06,2019-12-13 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/the-wolf-hour-review.html', 'suggested_link_text': 'Read the New York Times Review of The Wolf Hour'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/04/arts/wolfhour1/wolfhour1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
38,Daniel Isn't Real,,0,Teo Bugbee,‘Daniel Isn’t Real’ Review: Even an Imaginary Friend Can Hurt You,"Young Luke was happy to find a friend in Daniel. Luke’s mother couldn’t see Daniel, but accepted him nonetheless, until he went too far.",2019-12-05,2019-12-06,2019-12-13 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/daniel-isnt-real-review.html', 'suggested_link_text': ""Read the New York Times Review of Daniel Isn't Real""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/05/arts/05DANIEL-PIX/merlin_165236115_af1e0249-8e21-477d-ae49-56665211f3b2-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
39,A Million Little Pieces,R,0,Jeannette Catsoulis,‘A Million Little Pieces’ Review: Cracking Up,A committed lead performance and some eloquent visuals aren’t enough to save this hackneyed tale of a rehab-resisting addict.,2019-12-05,2019-12-06,2019-12-13 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/a-million-little-pieces-review.html', 'suggested_link_text': 'Read the New York Times Review of A Million Little Pieces'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/million1/merlin_165234591_8ed988f2-68c7-4d51-a73f-70c4ab025ed4-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
40,When Lambs Become Lions,,0,Glenn Kenny,‘When Lambs Become Lions’ Review: An Ivory Poacher’s Perspective,"The documentarian Jon Kasbe spent years among elephant hunters in Kenya, and his movie is an intense 74-minute distillation of his efforts.",2019-12-05,,2019-12-20 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/05/movies/when-lambs-become-lions-review.html', 'suggested_link_text': 'Read the New York Times Review of When Lambs Become Lions'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/06/arts/05when/05when-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
41,Knives and Skin,,0,Ben Kenigsberg,‘Knives and Skin’ Review: ‘Twin Peaks’ Redux? Not Quite,"While it has some genuine eeriness, the similarities to David Lynch’s work give the impression of a secondhand sensibility.",2019-12-04,2019-12-06,2019-12-13 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/12/04/movies/knives-and-skin-review.html', 'suggested_link_text': 'Read the New York Times Review of Knives and Skin'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/12/05/arts/05knives/05knives-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
42,The Body Remembers When the World Broke Open,,1,Jeannette Catsoulis,"‘The Body Remembers’ Review: One Prospers, the Other Doesn’t","Two indigenous women collide in an urgent, intimate drama about race, motherhood and domestic abuse.",2019-11-28,2019-11-29,2019-12-06 03:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/11/28/movies/the-body-remembers-when-the-world-broke-open-review.html', 'suggested_link_text': 'Read the New York Times Review of The Body Remembers When the World Broke Open'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/11/29/arts/bodyremembers1/bodyremembers1-mediumThreeByTwo210-v2.jpg', 'height': 140, 'width': 210}"
43,Les Misérables,R,1,Glenn Kenny,‘Les Misérables’ Review: Injustice Still Stalks the Poor of Paris,"In modern-day Montfermeil, the setting of Victor Hugo’s novel, the filmmaker Ladj Ly stages his own impassioned cry against oppression.",2019-11-28,,2019-12-08 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/11/28/movies/les-miserables-review.html', 'suggested_link_text': 'Read the New York Times Review of Les Misérables'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/11/29/arts/29lesmiserables/29lesmiserables-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
44,Feast of the Epiphany,,0,Ben Kenigsberg,"‘Feast of the Epiphany’ Review: Farm to Table, but Not in That Order","It’s a drama. It’s a documentary. It’s both, but this film is a perplexing amalgamation.",2019-11-28,2019-11-29,2019-12-09 17:44:01,"{'type': 'article', 'url': 'https://www.nytimes.com/2019/11/28/movies/feast-of-the-epiphany-review.html', 'suggested_link_text': 'Read the New York Times Review of Feast of the Epiphany'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2019/11/29/arts/28feastpix/28feastpix-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
