,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
17,Fatale,R,0,Glenn Kenny,‘Fatale’ Review: Another Attraction of the Fatal Kind,Hilary Swank plays a police detective who seduces Michael Ealy into a very tangled web.,2020-12-18,2020-12-18,2020-12-18 14:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/18/movies/fatale-review.html', 'suggested_link_text': 'Read the New York Times Review of Fatale'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/19/arts/fatale1/fatale1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
18,Ma Rainey's Black Bottom,R,1,A.O. Scott,‘Ma Rainey’s Black Bottom’ Review: All the Blues That’s Fit to Sing,Viola Davis and Chadwick Boseman star in a potent adaptation of August Wilson’s play.,2020-12-17,2020-12-18,2020-12-17 13:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/ma-raineys-black-bottom-review.html', 'suggested_link_text': ""Read the New York Times Review of Ma Rainey's Black Bottom""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/17/arts/17marainey-review1/merlin_181114491_bfad3f8a-a130-4974-bed8-486f12b72119-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
19,Monster Hunter,PG-13,0,Jeannette Catsoulis,‘Monster Hunter’ Review: Beasts of Boredom,Milla Jovovich stars as an Army Ranger trapped in an alternate universe in this video game-derived silliness.,2020-12-17,2020-12-18,2020-12-18 20:52:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/monster-hunter-review-beasts-of-boredom.html', 'suggested_link_text': 'Read the New York Times Review of Monster Hunter'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/18/arts/monster1/monster1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
20,Belovy,,0,Ben Kenigsberg,‘The Belovs’ Review: Another View of Farm Life,The director of “Gunda” filmed two Russian siblings in the early 1990s.,2020-12-17,,2020-12-17 22:44:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/the-belovs-review.html', 'suggested_link_text': 'Read the New York Times Review of Belovy'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/17/arts/17belovs/17belovs-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
21,Museum Town,,0,Lovia Gyarkye,‘Museum Town’ Review: A Love Letter to Mass MoCA,This documentary looks at how a contemporary art museum in Western Massachusetts transformed a struggling small town.,2020-12-17,,2020-12-17 15:54:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/museum-town-review.html', 'suggested_link_text': 'Read the New York Times Review of Museum Town'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/18/arts/museumtown1/museumtown1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
22,Effigy: Poison and the City,,0,Jeannette Catsoulis,‘Effigy — Poison and the City’ Review: Death and the Matron,Udo Flohr’s stagy drama follows the investigation of a real-life serial killer in 1820s Germany.,2020-12-17,,2020-12-17 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/effigy-poison-and-the-city-review.html', 'suggested_link_text': 'Read the New York Times Review of Effigy: Poison and the City'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/16/arts/effigy1/effigy1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
23,Nasrin,,0,Jeannette Catsoulis,‘Nasrin’ Review: Righting Wrongs in Iran,"Filmed in secret, Jeff Kaufman’s portrait of the Iranian lawyer Nasrin Sotoudeh captures her ongoing battles for the rights of women, children and minorities.",2020-12-17,2020-10-01,2020-12-17 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/17/movies/nasrin-review.html', 'suggested_link_text': 'Read the New York Times Review of Nasrin'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/16/arts/nasrin2/merlin_181114908_9d40fabc-6a4d-436d-8860-fe13f884338c-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
24,The Art of Political Murder,,0,Ben Kenigsberg,‘The Art of Political Murder’ Review: Behind a Bishop’s Assassination,This documentary from Paul Taylor explores the killing of Bishop Juan Gerardi Conedera in Guatemala in 1998.,2020-12-17,,2020-12-17 02:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/16/movies/the-art-of-political-murder-review.html', 'suggested_link_text': 'Read the New York Times Review of The Art of Political Murder'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/14/arts/artof1/artof1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
25,The Last Blockbuster,Not Rated,0,Glenn Kenny,"‘The Last Blockbuster’ Review: All the Nostalgia, With No Late Fees","Through celebrity interviews, this documentary looks back at the history of the home video retail industry.",2020-12-15,2020-12-15,2020-12-15 16:20:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/15/movies/the-last-blockbuster-review.html', 'suggested_link_text': 'Read the New York Times Review of The Last Blockbuster'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/18/arts/blockbuster1/blockbuster1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
26,Giving Voice,PG-13,1,Robert Daniels,‘Giving Voice’ Review: August Wilson Is Uplifting a New Generation,Netflix’s inspirational documentary follows talented theater kids who are devoting themselves to Wilson’s writing.,2020-12-11,2020-12-11,2020-12-11 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/11/movies/giving-voice-review.html', 'suggested_link_text': 'Read the New York Times Review of Giving Voice'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/10/arts/giving1/giving1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
27,Wander Darkly,R,0,Glenn Kenny,"‘Wander Darkly’ Review: After Death, a Fractured Life","In this drama, Sienna Miller plays a woman who gets to witness her own funeral after a car crash.",2020-12-11,2020-12-11,2020-12-11 19:56:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/11/movies/wander-darkly-review.html', 'suggested_link_text': 'Read the New York Times Review of Wander Darkly'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/15/arts/wander1/wander1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
28,Safety,PG,0,Kyle Turner,‘Safety’ Review: It Takes a University to Raise a Child,This Disney+ film isn’t your typical sports or adversity movie; it asks questions of what educational institutions owe to their community.,2020-12-11,2020-12-11,2020-12-11 14:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/11/movies/safety-review.html', 'suggested_link_text': 'Read the New York Times Review of Safety'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/10/arts/safety1/merlin_180811728_4ae8ddfc-2feb-4bd4-bdf6-09f6fcee6d44-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
29,The Bee Gees: How Can You Mend a Broken Heart,,0,Natalia Winkelman,"‘The Bee Gees’ Review: Night Fever, for Decades","The documentary “How Can You Mend a Broken Heart,” from Frank Marshall, strives to paint a wider picture of the band often associated with its disco hits.",2020-12-11,2020-12-12,2020-12-11 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/11/movies/the-bee-gees-how-can-you-mend-a-broken-heart-review.html', 'suggested_link_text': 'Read the New York Times Review of The Bee Gees: How Can You Mend a Broken Heart'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/12/arts/beegees1/beegees1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
30,Small Axe,TV-MA,1,Jeannette Catsoulis,‘Small Axe’ Review: The Agonies and Ecstasies of Black British Lives,Steve McQueen’s anthology of five films is a revelatory look at Afro-Caribbean neighborhoods in Britain from the 1960s to the ’80s.,2020-12-10,2020-11-20,2020-12-10 22:38:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/small-axe-review-steve-mcqueen.html', 'suggested_link_text': 'Read the New York Times Review of Small Axe'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/10/arts/10smallaxe-1/10smallaxe-1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
31,Gunda,G,1,Manohla Dargis,‘Gunda’ Review: A Remarkable Pig’s-Eye View of the World,"This astonishing documentary offers an intimate look at the lives of a sow, her rambunctious piglets, a one-legged chicken and a herd of cows.",2020-12-10,,2020-12-10 19:20:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/gunda-review.html', 'suggested_link_text': 'Read the New York Times Review of Gunda'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/11/arts/11gunda/11gunda-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
32,Finding Yingying,Not Rated,0,Ben Kenigsberg,‘Finding Yingying’ Review: Vanishing Point,This documentary about the search for a missing student in Illinois takes a compassionate approach to grim material.,2020-12-10,,2020-12-10 17:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/finding-yingying-review.html', 'suggested_link_text': 'Read the New York Times Review of Finding Yingying'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/09/arts/finding1/finding1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
33,Assassins,,0,Ben Kenigsberg,‘Assassins’ Review: Duped Into an International Murder Plot,A documentary tries to explain how two women were able to cause the death of the North Korean leader’s half brother.,2020-12-10,,2020-12-10 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/assassins-review.html', 'suggested_link_text': 'Read the New York Times Review of Assassins'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/10/arts/10assassins/10assassins-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
34,Funny Boy,,0,Ben Kenigsberg,‘Funny Boy’ Review: Coming Out During Civil War,Deepa Mehta’s sprawling coming-of-age drama follows a boy who realizes he is gay in a country that criminalizes homosexuality.,2020-12-10,2020-12-10,2020-12-10 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/funny-boy-review.html', 'suggested_link_text': 'Read the New York Times Review of Funny Boy'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/11/arts/funny1/funny1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
35,The Prom,PG-13,0,Manohla Dargis,"‘The Prom’ Review: Showbiz Sanctimony, and All That Zazz","Ryan Murphy takes on the Broadway hit “The Prom,” with help from Meryl Streep, Nicole Kidman and Keegan-Michael Key.",2020-12-10,2020-12-11,2020-12-10 12:04:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/the-prom-review.html', 'suggested_link_text': 'Read the New York Times Review of The Prom'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/11/arts/00theprom/00theprom-mediumThreeByTwo440-v2.jpg', 'height': 140, 'width': 210}"
36,Wild Mountain Thyme,PG-13,0,Glenn Kenny,‘Wild Mountain Thyme’ Review: Finding Love Down on the Farm,John Patrick Shanley adapts his play “Outside Mullingar” into a movie. (Don’t worry about the accents.),2020-12-10,2020-12-11,2020-12-10 12:04:05,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/wild-mountain-thyme-review.html', 'suggested_link_text': 'Read the New York Times Review of Wild Mountain Thyme'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/09/arts/wildmountain1/merlin_180812319_fc946c03-26ed-400a-8763-730ec9807cdb-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
37,The Weasel's Tale,,0,Nicolas Rapold,‘The Weasels’ Tale’ Review: House Hunting,Argentine showbiz stars in a remote mansion battle with two real estate hustlers in Juan José Campanella’s crowd-pleasing comedy.,2020-12-10,2020-12-11,2020-12-10 12:04:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/the-weasels-tale-review.html', 'suggested_link_text': ""Read the New York Times Review of The Weasel's Tale""}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/09/arts/weasels1/weasels1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
38,Farewell Amor,,0,Devika Girish,‘Farewell Amor’ Review: Alone Together,Ekwa Msangi’s tender drama shows us that goodbyes haunt immigrants wherever they go.,2020-12-10,2020-12-11,2020-12-10 10:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/10/movies/farewell-amor-review.html', 'suggested_link_text': 'Read the New York Times Review of Farewell Amor'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/11/arts/farewell1/farewell1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
39,A Dog Called Money,,0,Glenn Kenny,‘A Dog Called Money’ Review: Lyrical Encounters With PJ Harvey,"In this documentary, the musician PJ Harvey travels to Kabul, Kosovo and Washington, D.C. to find inspiration.",2020-12-09,2020-12-09,2020-12-09 12:04:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/09/movies/a-dog-called-money-review.html', 'suggested_link_text': 'Read the New York Times Review of A Dog Called Money'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/07/arts/pjharvey1/pjharvey1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
40,Sing Me a Song,,0,Kristen Yoonsoo Kim,‘Sing Me a Song’ Review: Technology vs. the Contemplative Life,The French filmmaker Thomas Balmès follows a Bhutanese boy as he becomes a man and finds a life outside the monastery where he grew up.,2020-12-09,2021-01-01,2020-12-09 12:04:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/09/movies/sing-me-a-song-review.html', 'suggested_link_text': 'Read the New York Times Review of Sing Me a Song'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/11/movies/09sing-me-a-song/merlin_180780483_0f5ba8d9-b0bb-4307-8005-74ce6e1374e5-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
41,Let Them All Talk,R,0,Maya Phillips,‘Let Them All Talk’ Review: That Ship Has Sailed,Meryl Streep plays an author trying to reconnect with college friends in Steven Soderbergh’s film.,2020-12-09,2020-12-10,2020-12-09 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/09/movies/let-them-all-talk-review-that-ship-has-sailed.html', 'suggested_link_text': 'Read the New York Times Review of Let Them All Talk'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/08/arts/letthem1/letthem1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
42,To the Ends of the Earth,,1,Glenn Kenny,"‘To the Ends of the Earth’ Review: Seeking a Big Fish, and More",A Japanese TV host is lost in and out of translation in Uzbekistan.,2020-12-08,2020-12-11,2020-12-08 22:16:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/08/movies/to-the-ends-of-the-earth-review.html', 'suggested_link_text': 'Read the New York Times Review of To the Ends of the Earth'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/08/arts/totheends1/totheends1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
43,Godmothered,PG,0,Natalia Winkelman,‘Godmothered’ Review: Revising the Fairy Tale Formula,An inexperienced fairy godmother tries to make over a Bostonian single mom in this modernized fairy tale.,2020-12-04,2020-12-04,2020-12-04 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/04/movies/godmothered-review.html', 'suggested_link_text': 'Read the New York Times Review of Godmothered'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/05/arts/godmothered1/godmothered1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
44,Mank,R,1,A.O. Scott,‘Mank’ Review: A Rosebud by Any Other Name,Gary Oldman plays a Hollywood hack with an ax to grind in David Fincher’s reinterpretation of the legend of “Citizen Kane.”,2020-12-03,2020-12-04,2020-12-03 16:16:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/03/movies/mank-review.html', 'suggested_link_text': 'Read the New York Times Review of Mank'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/03/arts/03mank-new/03mank-new-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
45,76 Days,,1,Nicolas Rapold,‘76 Days’ Review: Fortitude on China’s Frontlines,"Shot in four Wuhan hospitals during coronavirus lockdown, the film takes a grounded, humane perspective on doctors, nurses and patients.",2020-12-03,2020-12-04,2020-12-03 12:04:09,"{'type': 'article', 'url': 'https://www.nytimes.com/2020/12/03/movies/76-days-review.html', 'suggested_link_text': 'Read the New York Times Review of 76 Days'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2020/12/04/arts/seventysix1/seventysix1-mediumThreeByTwo210.jpg', 'height': 140, 'width': 210}"
