,display_title,mpaa_rating,critics_pick,byline,headline,summary_short,publication_date,opening_date,date_updated,link,multimedia
10,The Unforgivable,R,0,Amy Nicholson,‘The Unforgivable’ Review: Mirthless in Seattle,Sandra Bullock plays a woman on parole in this Netflix film adaptation of a British mini-series.,2021-12-09,2021-12-10,2021-12-09 12:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/the-unforgivable-review.html', 'suggested_link_text': 'Read the New York Times Review of The Unforgivable'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/10/arts/09unforgivable-review/merlin_198684258_6fabc9b9-f9fb-4e33-9009-630d18ff52d7-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
11,Last and First Men,,0,Ben Kenigsberg,‘Last and First Men’ Review: Pondering Posterity,Tilda Swinton narrates the bleak future of humanity in the only feature directed by the Icelandic composer Johann Johannsson.,2021-12-09,,2021-12-09 12:07:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/last-and-first-men-review.html', 'suggested_link_text': 'Read the New York Times Review of Last and First Men'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/08/arts/last1/last1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
12,Encounter,R,0,Jeannette Catsoulis,‘Encounter’ Review: The Scenic Route,A volatile veteran attempts to rescue his sons from a perceived alien threat in this confused cross between sci-fi thriller and family drama.,2021-12-09,2021-12-10,2021-12-09 12:03:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/encounter-review.html', 'suggested_link_text': 'Read the New York Times Review of Encounter'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/08/arts/encounter1/encounter1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
13,Back to the Outback,PG,0,Natalia Winkelman,‘Back to the Outback’ Review: Pest in Show,A group of reptile house critters escape from an Australian zoo in this endearing animated adventure.,2021-12-09,2021-12-10,2021-12-09 12:04:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/back-to-the-outback-review.html', 'suggested_link_text': 'Read the New York Times Review of Back to the Outback'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/10/arts/09back1/back1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
14,Mr. Saturday Night,,0,Elisabeth Vincentelli,‘Mr. Saturday Night’ Review: A Producer Who Found His Groove,"If you expect to learn much about Robert Stigwood, this new documentary about the famed manager (of the Bee Gees) and producer (of “Saturday Night Fever”) will leave you frustrated.",2021-12-09,,2021-12-09 15:45:37,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/09/movies/mr-saturday-night-review-a-producer-who-found-his-groove.html', 'suggested_link_text': 'Read the New York Times Review of Mr. Saturday Night'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/08/arts/mister1/mister1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
15,West Side Story,PG-13,1,A.O. Scott,"‘West Side Story’ Review: In Love and War, 1957 Might Be Tonight","Steven Spielberg rediscovers the breathing, troubling essence of a classic, building a bold and current screen musical with no pretense to perfection.",2021-12-08,2021-12-10,2021-12-08 14:56:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/08/movies/west-side-story-review.html', 'suggested_link_text': 'Read the New York Times Review of West Side Story'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/10/arts/09west-side-review/merlin_198687867_d0345a3e-88d2-4345-998b-1b542c8fac68-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
16,Being the Ricardos,R,0,Manohla Dargis,"‘Being the Ricardos’ Review: Kiss, Fight, Rinse, Repeat",Nicole Kidman and Javier Bardem star as Lucille Ball and Desi Arnaz in Aaron Sorkin’s drama about one very bad week.,2021-12-08,2021-12-10,2021-12-08 22:36:07,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/08/movies/being-the-ricardos-review.html', 'suggested_link_text': 'Read the New York Times Review of Being the Ricardos'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/09/arts/09being-2/merlin_198624537_1ce9af57-4e08-44c9-906b-2831cebc8fd6-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
17,Fatal Distraction,,0,Teo Bugbee,‘Fatal Distraction’ Review: Parents Go Through the Unthinkable,"In the documentary by Susan Morgan Cooper, a father is on trial after his baby dies in the back seat of a hot car.",2021-12-08,2021-12-07,2021-12-08 22:00:36,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/08/movies/fatal-distraction-review.html', 'suggested_link_text': 'Read the New York Times Review of Fatal Distraction'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/07/arts/07fatal-distraction/07fatal-distraction-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
18,Diary of a Wimpy Kid,PG,0,Nicolas Rapold,‘Diary of a Wimpy Kid’ Review: Growing Pains,"In this Disney animated feature from the best-selling series of books, the lead character fearfully enters middle school.",2021-12-03,2021-12-03,2021-12-03 08:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/03/movies/diary-of-a-wimpy-kid-review.html', 'suggested_link_text': 'Read the New York Times Review of Diary of a Wimpy Kid'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/diary1/diary1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
19,Try Harder!,,1,Beandrea July,‘Try Harder!’ Review: California Overachievement Test,This documentary from Debbie Lum goes inside a top-performing San Francisco public high school to see how students are preparing for the future.,2021-12-02,2021-12-03,2021-12-02 17:53:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/try-harder-review.html', 'suggested_link_text': 'Read the New York Times Review of Try Harder!'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/tryharder1/tryharder1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
20,Torn,,1,Claire Shaffer,‘Torn’ Review: A Climber’s Son Explores His Father’s Legacy,This documentary on the life and death of the mountaineer Alex Lowe demonstrates how unexpected bonds can form around those in grief.,2021-12-02,2021-12-03,2021-12-02 17:18:23,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/torn-review.html', 'suggested_link_text': 'Read the New York Times Review of Torn'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/torn1/torn1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
21,Flee,PG-13,1,A.O. Scott,‘Flee’ Review: From Kabul to Copenhagen,"A Danish documentary uses animation to tell the poignant, complicated story of an Afghan refugee.",2021-12-02,2021-12-03,2021-12-02 17:10:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/flee-review.html', 'suggested_link_text': 'Read the New York Times Review of Flee'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/multimedia/02flee-review1/02flee-review1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
22,Listening to Kenny G,,1,Glenn Kenny,‘Listening to Kenny G’ Review: Good Sax?,Penny Lane’s documentary about the superstar sax player Kenny G shows an artist who can be defensive and self-satisfied almost simultaneously.,2021-12-02,2021-12-02,2021-12-02 14:15:36,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/listening-to-kenny-g-review.html', 'suggested_link_text': 'Read the New York Times Review of Listening to Kenny G'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/02listening-to-kenny-g-review/02listening-to-kenny-g-review-mediumThreeByTwo440-v2.jpg', 'height': 140, 'width': 210}"
23,Citizen Ashe,,0,Manohla Dargis,"‘Citizen Ashe’ Review: Advantage, Arthur Ashe","This warm, sympathetic documentary portrait traces the career of the tennis champion and pioneer who smashed through history.",2021-12-02,,2021-12-02 20:29:37,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/citizen-ashe-review.html', 'suggested_link_text': 'Read the New York Times Review of Citizen Ashe'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/02citizen-ashe/02citizen-ashe-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
24,The Advent Calendar,,0,Lena Wilson,‘The Advent Calendar’ Review: A December Full of Tricks and Treats,"In this Christmastime French horror film, a woman struggles against a powerful, old demon eager to rope her into a Faustian bargain.",2021-12-02,,2021-12-02 12:04:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/the-advent-calendar-review.html', 'suggested_link_text': 'Read the New York Times Review of The Advent Calendar'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/01/arts/advent1/merlin_198348198_39874249-690c-484f-98a9-c73a810ed3ae-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
25,Single All the Way,TV-PG,0,Teo Bugbee,‘Single All the Way’ Review: Cookie Cutter Christmas,This Netflix holiday rom-com rests its family-friendly shenanigans on a display of chemistry that never materializes.,2021-12-02,2021-12-02,2021-12-02 12:05:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/single-all-the-way-review.html', 'suggested_link_text': 'Read the New York Times Review of Single All the Way'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/01/arts/single1/merlin_198348624_acd33d57-3565-475e-a188-9416499267fa-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
26,Red Pill,,0,Beatrice Loayza,‘Red Pill’ Review: The Horror of a Weekend of Racism and Extremism,Tonya Pinkins is in the director’s chair for this bizarre face-off between political opponents in which rhetoric is the least of the weapons.,2021-12-02,,2021-12-02 12:02:16,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/red-pill-review-tonya-pinkins.html', 'suggested_link_text': 'Read the New York Times Review of Red Pill'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/02/crosswords/02RED-PILL-REVIEWPIX1/02RED-PILL-REVIEWPIX1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
27,Wolf,R,0,Natalia Winkelman,‘Wolf’ Review: Animal Behavior,This psychological thriller unfolds in a brutal clinic for young people who feel they are animals trapped in human bodies.,2021-12-02,2021-12-03,2021-12-02 12:01:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/wolf-review-animal-behavior.html', 'suggested_link_text': 'Read the New York Times Review of Wolf'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/01/arts/wolf1/wolf1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
28,Silent Night,,0,Concepción de León,‘Silent Night’ Review: Waiting for the End of the World,"In this feature from Camille Griffin, a group of friends facing global disaster have one last Christmas dinner.",2021-12-02,2021-12-03,2021-12-02 12:03:02,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/silent-night-review.html', 'suggested_link_text': 'Read the New York Times Review of Silent Night'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/01/arts/silent2/silent2-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
29,Benedetta,,0,Jeannette Catsoulis,‘Benedetta’ Review: Habit Storming,"Paul Verhoeven takes us to a nunnery where faith, eroticism and the Black Death make for an unholy good time.",2021-12-02,2021-12-03,2021-12-02 12:06:05,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/02/movies/benedetta-review.html', 'suggested_link_text': 'Read the New York Times Review of Benedetta'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/30/arts/benedetta1/benedetta1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
30,14 Peaks: Nothing Is Impossible,TV-MA,0,Lisa Kennedy,‘14 Peaks: Nothing Is Impossible’ Review: Climbing at a Breakneck Pace,A documentary follows the Nepalese mountaineer Nirmal Purja as he tries to add cultural depth to the sport’s highs.,2021-12-01,2021-11-29,2021-12-02 01:56:41,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/12/01/movies/14-peaks-nothing-is-impossible-review.html', 'suggested_link_text': 'Read the New York Times Review of 14 Peaks: Nothing Is Impossible'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/01/multimedia/01fourteen-peaks1/01fourteen-peaks1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
31,The Power of the Dog,R,1,Manohla Dargis,‘The Power of the Dog’ Review: Wild Hearts on a Closed Frontier,"In Jane Campion’s staggering take on the western, her first movie in more than a decade, a cruel cowboy meets his surprising match.",2021-11-30,2021-12-01,2021-11-30 20:19:04,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/30/movies/the-power-of-the-dog-review.html', 'suggested_link_text': 'Read the New York Times Review of The Power of the Dog'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/30/arts/30power-2/30power-2-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
32,The Summit of the Gods,PG,0,Ben Kenigsberg,‘The Summit of the Gods’ Review: In the (Mountain) Heights,"Adapted from a manga, this French-language feature concerns an obsessive climber and a camera that may prove Everest was conquered decades earlier.",2021-11-30,2021-11-30,2021-11-30 13:31:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/30/movies/the-summit-of-the-gods-review.html', 'suggested_link_text': 'Read the New York Times Review of The Summit of the Gods'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/12/03/arts/summit1/summit1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
33,Writing with Fire,,1,Devika Girish,‘Writing With Fire’ Review: Speaking Truth to Power,This rousing documentary follows the reporters of India’s only all-women news outlet as they pivot to digital journalism while battling personal and political challenges.,2021-11-25,2021-11-26,2021-11-25 12:01:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/25/movies/writing-with-fire-review.html', 'suggested_link_text': 'Read the New York Times Review of Writing with Fire'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/writing1/writing1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
34,Bruised,R,0,Teo Bugbee,‘Bruised’ Review: It’s a Hard-Knock Life,Halle Berry stars as a mixed martial arts fighter staging a comeback in her directorial debut.,2021-11-25,2021-11-24,2021-12-01 22:18:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/25/movies/bruised-review.html', 'suggested_link_text': 'Read the New York Times Review of Bruised'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/25/arts/25bruised-art/25bruised-art-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
35,Licorice Pizza,R,0,Manohla Dargis,‘Licorice Pizza’ Review: California Dreaming and Scheming,"In his latest movie, Paul Thomas Anderson returns to the San Fernando Valley for a shaggy 1970s romp about a self-important teenage boy and a memorable woman.",2021-11-25,2021-12-25,2021-11-25 18:46:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/25/movies/licorice-pizza-review.html', 'suggested_link_text': 'Read the New York Times Review of Licorice Pizza'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/25/arts/25licorice-pizza-review/merlin_198054663_8c99b183-4b9c-4ca3-a7b9-c0859edacd40-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
36,Burning,,0,Nicolas Rapold,‘Burning’ Review: Pulling the Fire Alarm in Australia,"A new documentary looks at the visceral impact of wildfires and climate change on the country, from its beleaguered people to sickly koalas.",2021-11-25,2021-11-26,2021-11-25 12:02:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/25/movies/burning-review-documentary-australia.html', 'suggested_link_text': 'Read the New York Times Review of Burning'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/burning1/burning1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
37,,,0,Claire Shaffer,‘’Twas the Fight Before Christmas’ Review: A Not-So-Silent Night,This documentary recounts how an Idaho man filed a discrimination lawsuit after his neighbors refused to let him host an annual Christmas light extravaganza.,2021-11-25,,0001-01-01 00:00:00,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/25/movies/twas-the-fight-before-christmas-review.html', 'suggested_link_text': 'Read the New York Times Review of '}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/23/arts/twas1/twas1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
38,Drive My Car,,1,Manohla Dargis,‘Drive My Car’ Review: A Director Takes Your Heart for a Spin,"In this quiet masterpiece, Ryusuke Hamaguchi considers grief, love, work and the soul-sustaining, life-shaping power of art.",2021-11-24,2021-11-24,2021-11-24 16:07:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/drive-my-car-review.html', 'suggested_link_text': 'Read the New York Times Review of Drive My Car'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/24drive-car-pix1/merlin_197963619_481ae3a3-3457-4701-b885-555eb0bc5544-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
39,A Boy Called Christmas,PG,1,Natalia Winkelman,‘A Boy Called Christmas’ Review: Kindling the Holiday Spirit,Enchanting imagery elevates this Netflix holiday adventure about a boy who journeys to a magic elfin city.,2021-11-24,2021-11-24,2021-11-24 15:12:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/a-boy-called-christmas-review.html', 'suggested_link_text': 'Read the New York Times Review of A Boy Called Christmas'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/boycalled1/boycalled1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
40,A Castle for Christmas,,0,Lisa Kennedy,‘A Castle for Christmas’ Review: Deck the Halls With Expensive Tartans,Charming locals in Scotland can’t save Brooke Shields and Cary Elwes from the script of this formulaic holiday rom-com.,2021-11-24,2021-11-26,2021-11-24 18:09:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/a-castle-for-christmas-review.html', 'suggested_link_text': 'Read the New York Times Review of A Castle for Christmas'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/25/arts/25castle-for-christmas/merlin_197962599_dcd47538-ee6c-475f-afad-4a6194c056fd-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
41,Resident Evil: Welcome to Raccoon City,R,0,Amy Nicholson,‘Resident Evil: Welcome to Raccoon City’ Review: They Go Way Back,"Set in 1998, this franchise origin story embraces nostalgia.",2021-11-24,2021-11-24,2021-11-24 17:19:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/resident-evil-welcome-to-raccoon-city-review.html', 'suggested_link_text': 'Read the New York Times Review of Resident Evil: Welcome to Raccoon City'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/24/arts/resident1/resident1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
42,8-Bit Christmas,PG,0,Calum Marsh,‘8-Bit Christmas’ Review: Now You’re Playing With Power,"Nintendo looms large in this sentimental, 1980s-set holiday comedy.",2021-11-24,2021-11-24,2021-11-24 15:03:03,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/8-bit-christmas-review.html', 'suggested_link_text': 'Read the New York Times Review of 8-Bit Christmas'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/23/arts/eightbit1/eightbit1-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
43,,,0,Ben Kenigsberg,‘Keep Sweet’ Review: A Legacy of Polygamy in a Religious Sect,This documentary by Don Argott looks to the past and future of a community in the American West that made its own rules and lived by them.,2021-11-24,,0001-01-01 00:00:00,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/24/movies/keep-sweet-review-a-legacy-of-polygamy-in-a-religious-sect.html', 'suggested_link_text': 'Read the New York Times Review of '}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/24keep-sweet-pix/merlin_198286806_b474d23c-fa18-471a-ac65-3771311bef76-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
44,The Humans,R,1,Jeannette Catsoulis,‘The Humans’ Review: Reasons (Not) to Be Cheerful,Stephen Karam’s film adaptation of his powerful play acquires a supernatural sheen as a family gathers for Thanksgiving dinner.,2021-11-23,2021-11-24,2021-11-23 19:46:06,"{'type': 'article', 'url': 'https://www.nytimes.com/2021/11/23/movies/the-humans-review.html', 'suggested_link_text': 'Read the New York Times Review of The Humans'}","{'type': 'mediumThreeByTwo210', 'src': 'https://static01.nyt.com/images/2021/11/26/arts/humans1/merlin_198005883_ab221d3a-f358-4f3d-8a67-3115ca956aef-mediumThreeByTwo440.jpg', 'height': 140, 'width': 210}"
