,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
10,Dabangg 3,2019,Not Rated,20 Dec 2019,160 min,"Action, Comedy, Crime",Prabhu Deva,"Salman Khan, Prabhu Deva, Alok Upadhyay","Salman Khan, Sudeep, Sonakshi Sinha","Following the events of Dabangg 2 (2012), Chulbul Pandey has now become the SP of Tundla, Uttar Pradesh and is living a comfortable life with his family. When he busts a human trafficking racket, he realizes he has locked horns with the kingpin Bali Singh who seems to be having a connection to his past. A flashback unfolds, showcasing the origin of Chulbul Pandey as a fearless cop and the reason behind his transformation.","Hindi, Kannada, Tamil, Telugu",India,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMGM4MDkxMTQtYWU0OS00ZThmLWJhODctYzAxZjhkNDlmYTlhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}]",N/A,3.0,"17,794",tt7059844,movie,17 Feb 2020,"$202,000",N/A,N/A,True,
11,Invisible Life,2020–2021,N/A,09 Dec 2020,N/A,"Drama, Family, Romance",N/A,N/A,"Duling Chen, Hawick Hau-Wai Lau, Fang Liu","In order to avoid her mother meddling in her love life, Ye Xiao Bai joins a business project that strict boss Guan Yi He is running. The two end up falling in love and having a secret relationship because their workplace doesn't allow romance between colleagues. They end up marrying and establishing a family in secret, and Xiao Bai thinks life is going well, but the pressure of keeping their relationship a secret puts a strain on their family. Other problems arise both personally and professionally, opening Xiao Bai's eyes to the issues women face in the workplace and the struggle to balance work and family. The naive girl learns to be stronger, advancing at work and protecting her family and marriage.",Chinese,China,N/A,https://m.media-amazon.com/images/M/MV5BYTJkYjg3NWItODFiYi00NTYzLTgyNjktOWE5YWNkMzU4NmM4XkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_SX300.jpg,[],N/A,N/A,6,tt13605706,series,,,,,True,1
12,Togo,2019,PG,20 Dec 2019,113 min,"Adventure, Biography, Drama",Ericson Core,Tom Flynn,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl","The historical film by the American director Ericson Core, which is dedicated to the events of the Great Mercy Race of 1925. The events of the film unfold around the drover Leonhard Seppala and his dog Togo, who went together the longest leg in the relay.",English,United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BNjJkYTc5N2UtMGRlMC00M2FmLTk0ZWMtOTYxNDUwNjI2YzljXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.0,"43,895",tt5116302,movie,11 Mar 2020,N/A,N/A,N/A,True,
13,She's Missing,2019,N/A,20 Dec 2019,100 min,Drama,Alexandra McGuinness,Alexandra McGuinness,"Lucy Fry, Eiza González, Christian Camargo","When her best friend goes missing at a rodeo, Heidi goes on a search across the desert, digging up secrets and encountering the violence of life on the road.",English,Ireland,1 win,https://m.media-amazon.com/images/M/MV5BYjYxMjYxNTktZDkzNy00ZjljLWE1MTEtNzAzODFlY2Q3YmY2XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,4.2,338,tt4192652,movie,19 Dec 2019,N/A,N/A,N/A,True,
14,Live from the Red Carpet of Star Wars: The Rise of Skywalker,2019,N/A,16 Dec 2019,126 min,N/A,Steve Meyer,N/A,"J.J. Abrams, John Boyega, Madlyn Burkert, Anthony Carboni",N/A,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWQzZDJiY2QtYTZiNS00YWFhLThlODMtZTU4M2Q0Y2E5ZGFhXkEyXkFqcGdeQXVyMjMyMjA0NTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11464830,movie,N/A,N/A,N/A,N/A,True,
15,6 Underground,2019,R,13 Dec 2019,128 min,"Action, Thriller",Michael Bay,"Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo","What's the best part of being dead? It's the freedom. The freedom to fight the evil which lurks in our world. 6 Underground's group of unnamed individuals have chosen to change the future. The team's brought together by enigmatic leader code-named 'One', whose sole mission is to ensure that, he and his fellow teammates will have their actions remembered.","English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",United States,1 win & 11 nominations,https://m.media-amazon.com/images/M/MV5BNzE2ZjQxNjEtNmI2ZS00ZmU0LTg4M2YtYzVhYmRiYWU0YzI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,6.1,"157,519",tt8106534,movie,13 Dec 2019,N/A,N/A,N/A,True,
16,Black Christmas,2019,PG-13,13 Dec 2019,92 min,"Horror, Mystery, Thriller",Sophia Takal,"Sophia Takal, April Wolfe, Roy Moore","Imogen Poots, Aleyse Shannon, Lily Donoghue","Hawthorne College is quieting down for the holidays. One by one, sorority girls on campus are being killed by an unknown stalker. But the killer is about to discover that this generation's young women aren't willing to become hapless victims as they mount a fight to the finish.",English,"United States, New Zealand",N/A,https://m.media-amazon.com/images/M/MV5BMzczYzk4NWUtY2I0NC00OWEzLTgxYzAtOGM3NGU1ZjZlOGQxXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,3.4,"14,870",tt10481868,movie,13 Dec 2019,"$10,429,730",N/A,N/A,True,
17,Richard Jewell,2019,R,13 Dec 2019,131 min,"Biography, Crime, Drama",Clint Eastwood,"Billy Ray, Marie Brenner, Kent Alexander","Paul Walter Hauser, Sam Rockwell, Brandon Stanley","Based on the true story of Richard Jewell, a security guard who discovered a bomb and saved many lives at a concert at Centennial Olympic Park during the 1996 Summer Olympics in Atlanta, Georgia. He was seen as a hero by many and a suspect by the FBI and press.",English,United States,Nominated for 1 Oscar. 7 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BOTFlODg1MTEtZTJhOC00OTY1LWE0YzctZjRlODdkYWY5ZDM4XkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.5,"77,105",tt3513548,movie,10 Dec 2019,"$22,345,542",N/A,N/A,True,
18,Uncut Gems,2019,R,25 Dec 2019,135 min,"Crime, Drama, Thriller","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie, Benny Safdie","Adam Sandler, Julia Fox, Idina Menzel","Howard Ratner (Adam Sandler) is a once successful New York gems dealer whose gambling addiction has left his family and career in shambles, and him hundreds of thousands in debt. Always looking for the next big bet, Howard thinks he finally hit it big when he discovers a rare uncut rock of Ethiopian gems, with a very interested high-profile buyer. But the closer Howard gets to finally winning big, the more he is forced to realize he can't keep running from the consequences of his actions.","English, Hebrew",United States,25 wins & 91 nominations,https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.4,"250,256",tt5727208,movie,13 Dec 2019,"$50,023,780",N/A,N/A,True,
19,A Hidden Life,2019,PG-13,17 Jan 2020,174 min,"Biography, Drama, Romance",Terrence Malick,Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon","Based on real events, A Hidden Life is the story of an unsung hero, Bl. Franz Jägerstätter, who refused to fight for the Nazis in World War II. When the Austrian peasant farmer is faced with the threat of execution for treason, it is his unwavering faith and his love for his wife, Fani, and children that keeps his spirit alive.","English, German, Italian","United States, United Kingdom, Germany",10 wins & 32 nominations,https://m.media-amazon.com/images/M/MV5BMDk4OTU0ZjctMjhhYS00YmVlLThlMDAtMjU4YzhlN2IyYzI3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.4,"22,163",tt5827916,movie,03 Jan 2020,"$1,730,597",N/A,N/A,True,
20,Chinese Portrait,2018,N/A,13 Dec 2019,79 min,Documentary,Xiaoshuai Wang,N/A,Liu Xiaodong,"Factory and construction workers, farmers, commuters, miners, students. The director captures the state of his nation, by static filming one or more people in more or less motionless poses. No narrative, just portraits.",Chinese,China,1 nomination,https://m.media-amazon.com/images/M/MV5BMThjZjY4ZDAtOThkNC00MTZhLTg4MjYtYzJhZDI2ZGEyOGFjXkEyXkFqcGdeQXVyODAyNDE3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.3,123,tt9434778,movie,17 Oct 2020,"$4,140",N/A,N/A,True,
21,Seberg,2019,R,13 Dec 2019,102 min,"Biography, Drama, Thriller",Benedict Andrews,"Joe Shrapnel, Anna Waterhouse","Kristen Stewart, Yvan Attal, Gabriel Sky","Inspired by real events in the life of À bout de souffle (1960) star and French New Wave icon Jean Seberg, who in the late 1960s was targeted by Hoover's FBI, because of her political and romantic involvement with civil rights activist Hakim Jamal.","English, French","United Kingdom, United States",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BNjk5MTdhZGQtMDEzMC00NTk3LTg1ZjgtZTNhN2RlYzY3N2U1XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,5.8,"7,405",tt1780967,movie,16 May 2020,"$434,702",N/A,N/A,True,
22,The Great War,2019,R,24 Jan 2020,108 min,"Drama, War",Steven Luke,Steven Luke,"Bates Wilder, Hiram A. Murray, Ron Perlman","During the last days of the Great War, a group of U.S. soldiers are sent behind enemy lines to rescue a lost platoon.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BM2M5MzM5MmEtZmUyNS00ZDYzLTkzMWMtMDJmN2QxZTA1NzExXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,3.8,"1,009",tt6198246,movie,13 Dec 2019,N/A,N/A,N/A,True,
23,Jumanji: The Next Level,2019,PG-13,13 Dec 2019,123 min,"Action, Adventure, Comedy",Jake Kasdan,"Jake Kasdan, Jeff Pinkner, Scott Rosenberg","Dwayne Johnson, Jack Black, Kevin Hart","The gang is back but the game has changed. As they return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored, from the arid deserts to the snowy mountains, in order to escape the world's most dangerous game.",English,United States,1 win & 12 nominations,https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"220,777",tt7975244,movie,13 Dec 2019,"$320,314,960",N/A,N/A,True,
24,Bombshell,2019,R,20 Dec 2019,109 min,"Biography, Drama",Jay Roach,Charles Randolph,"Charlize Theron, Nicole Kidman, Margot Robbie","When Gretchen Carlson slaps Fox News founder Roger Ailes with a lawsuit alleging sexual harassment, not a soul could predict what would happen next. Her decision leads to Fox News correspondent Megyn Kelly coming forward with her own story, as well as multiple other women, inciting a movement that reverberates around the world.",English,"Canada, United States",Won 1 Oscar. 25 wins & 62 nominations total,https://m.media-amazon.com/images/M/MV5BZjlhOWE3YjktY2MzOC00ZmQ1LWIwNjgtZmVhZmFjZGExMzgyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.8,"105,173",tt6394270,movie,13 Dec 2019,"$31,762,808",N/A,N/A,True,
25,Cunningham,2019,PG,13 Dec 2019,93 min,"Documentary, Biography, Music",Alla Kovgan,Alla Kovgan,"Carolyn Brown, John Cage, Ashley Chen","Even for those who know little about dance, Merce Cunningham is a recognizable name - an iconic figure in his field. His mid-20th century collaborations with composer John Cage (his lifelong partner) and visual artist Robert Rauschenberg were central to an era of transformation. Cunningham resisted ""avant-garde"" or any other label. ""I don't describe it. I do it,"" he once said. Now, with Cunningham, we have a chance to experience what he did. Filmmaker Alla Kovgan assembles the last generation of Cunningham dancers (led by Merce Cunningham Dance Company assistant director of choreography Jennifer Goggans) to present landmark works from the Cunningham repertoire. The film concentrates on the three decades from 1942 to 1972 when Cunningham was making his reputation. Gorgeously shot in 3D, Cunningham brings us closer to these works than any audience has ever been before. Taking an inventive approach with locations, the film places dancers in evocative backdrops such as a tunnel, a high-rise rooftop, and a forest. These current-day performances are interlaced with archival footage of Cunningham speaking and moving. We also hear illuminating interviews with Cage, Rauschenberg, and members of the original Merce Cunningham Dance Company, who endured years of rejection and outrage before they slowly won over audiences. ""I never believed that idea that dancing was the greatest of the arts,"" said Cunningham. ""But when it clicks, there's the rub. It becomes memorable. And one can be seduced all over again."" Whether you come to Cunningham as a neophyte or an aficionado, you'll leave with a rich experience of his art.",English,"Germany, France, United States, United Kingdom",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BY2YxZDJkMjctOTRhZS00MGM5LWI5NWItMjRlNzFjOTZiYzI0XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.5,387,tt8574836,movie,03 Jan 2020,"$265,102",N/A,N/A,True,
26,A Christmas Prince: The Royal Baby,2019,TV-PG,05 Dec 2019,84 min,"Family, Romance",John Schultz,"Karen Schaler, Nate Atkins","Rose McIver, Ben Lamb, Alice Krige","It's Christmastime in Aldovia, and a a royal baby is on the way. Queen Amber (Rose McIver) and King Richard (Ben Lamb) are getting ready to take some time off to prepare for their first child's arrival, but first they have to host King Tai (Kevin Shen) and Queen Ming (Momo Yeung) of Penglia to renew a 600-year-old sacred truce. But when a snowstorm hits on Christmas Eve and the priceless treaty goes missing, peace is jeopardized and an ancient curse looms. Amber will have to figure out who the thief is before before the clock strikes midnight, for the safety of her family and the kingdom.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2I2YTZiZWQtNDNmMS00MDY1LTlkNzUtZmI3MDAyMjcwYjZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}]",N/A,5.4,"5,977",tt10006006,movie,05 Dec 2019,N/A,N/A,N/A,True,
27,Dead Kids,2019,TV-MA,01 Dec 2019,98 min,Thriller,Mikhail Red,"Mikhail Red, Nikolas Red","Kelvin Miranda, Vance Larena, Khalil Ramos","Tired of being tormented by popular rich kid Chuck Santos, the boys hatch a plot to kidnap the bully and demand a sizable ransom from his drug lord father. Once their nefarious plan gets going though, they realize how much they were in over their heads","Tagalog, Filipino","Philippines, United States",N/A,https://m.media-amazon.com/images/M/MV5BMDIzNGNhMzItYWFiNS00Y2VlLWI2ZDMtYzRiYzFhZDYxMzBiXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,5.5,467,tt11156614,movie,01 Dec 2019,N/A,N/A,N/A,True,
28,Portrait of a Lady on Fire,2019,R,14 Feb 2020,122 min,"Drama, Romance",Céline Sciamma,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami","In 18th-century France young painter Marianne, is commissioned to do the wedding portrait of Héloïse without her knowing. Therefore, Marianne must observe her model by day to paint her portrait at night. Day by day, the two women become closer as they share Héloïse's last moments of freedom before the impending wedding.","French, Italian",France,58 wins & 156 nominations total,https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,8.1,"79,834",tt8613070,movie,03 Apr 2020,"$3,759,854",N/A,N/A,True,
