,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
10,Last and First Men,2020,N/A,21 Sep 2020,70 min,"Fantasy, Mystery, Sci-Fi",Jóhann Jóhannsson,"Olaf Stapledon, Jóhann Jóhannsson, José Enrique Macián",Tilda Swinton,"Two billion years ahead of us, a future race of humans finds itself on the verge of extinction. Almost all that is left in the world are lone and surreal monuments, beaming their message into the wilderness.",English,Iceland,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMDZkYWQ1OGItOTRhMi00MzIyLTk4Y2UtNzE1M2JhNmZjMmZjXkEyXkFqcGdeQXVyMjU5NTg5NzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.7,"2,560",tt8015444,movie,N/A,N/A,N/A,N/A,True,
11,Encounter,2021,R,10 Dec 2021,108 min,"Sci-Fi, Thriller",Michael Pearce,"Joe Barton, Michael Pearce","Janina Gavankar, Rory Cochrane, Octavia Spencer","Two brothers embark on a journey with their father, who is trying to protect them from an alien threat.",English,"United Kingdom, United States",4 nominations,https://m.media-amazon.com/images/M/MV5BYmFjODRjMjItYjFlMi00Mzk5LWIwNjMtOWM1YzYxZWFjMTBiXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,"[{'Source': 'Metacritic', 'Value': '61/100'}]",61,N/A,188,tt12800524,movie,N/A,N/A,N/A,N/A,True,
12,Back to the Outback,2021,PG,10 Dec 2021,95 min,"Animation, Adventure, Comedy","Harry Cripps, Clare Knight","Harry Cripps, Gregory Lessans","Jacki Weaver, Guy Pearce, Isla Fisher","Tired of being locked in a reptile house where humans gawk at them like they're monsters, a ragtag group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback, a place where they'll fit in without being judged for their scales and fangs. Leading the group is Maddie, a poisonous snake with a heart of gold, who bands together with a self-assured Thorny Devil lizard Zoe, a lovelorn hairy spider Frank, and a sensitive scorpion Nigel. But when their nemesis Pretty Boy, a cute but obnoxious koala unexpectedly joins their escape, Maddie and the gang have no choice but to take him with them. So begins a hair-raising and hilarious road trip across Australia, as they are pursued by a zookeeper Chaz and his adventure-seeking mini-me.",English,"Australia, United States",1 win,https://m.media-amazon.com/images/M/MV5BMmU0YzExYjctOGM0Yy00NzdkLTgxOGEtYjAwNzcxZGY4YTBiXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,[],N/A,N/A,N/A,tt13575806,movie,N/A,N/A,N/A,N/A,True,
13,Mr. Saturday Night,2021,N/A,09 Dec 2021,83 min,Documentary,John Maggio,N/A,"Robert Stigwood, John Travolta",The untold story of Robert Stigwood and how he amped the disco era.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGEzYjYxNDktMmRlZS00MjllLWE5MTAtYjFmYmRkNTViMjI0XkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_SX300.jpg,[],N/A,N/A,7,tt15721532,movie,N/A,N/A,N/A,N/A,True,
14,West Side Story,2021,PG-13,10 Dec 2021,156 min,"Crime, Drama, Musical",Steven Spielberg,"Tony Kushner, Arthur Laurents","Ansel Elgort, Rachel Zegler, Ariana DeBose","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","English, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNTlhMDRkNTQtZjAzOS00NGZhLWExM2YtM2UwODUzMDhjOWZkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,[],N/A,N/A,N/A,tt3581652,movie,N/A,N/A,N/A,N/A,True,
15,Being the Ricardos,2021,R,10 Dec 2021,125 min,"Biography, Drama",Aaron Sorkin,Aaron Sorkin,"Javier Bardem, Nicole Kidman, Jake Lacy",Follows Lucy and Desi as they face a crisis that could end their careers and another that could end their marriage.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDlmZDU5MmUtNWFmMy00OTQ1LTk1YTctOTI3ZmU1YzZiYmZmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt4995540,movie,N/A,N/A,N/A,N/A,True,
16,Fatal Distraction,2018,N/A,N/A,N/A,Documentary,Susan Morgan Cooper,Susan Morgan Cooper,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt7178728,movie,N/A,N/A,N/A,N/A,True,
17,Diary of a Wimpy Kid,2021–,N/A,26 Aug 2021,N/A,Animation,N/A,N/A,"Robert Capron, Dipsy Diora, Cookie Mozder",Animated series adaptation of Jeff Kinney's book series 'Diary of a Wimpy Kid'.,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt13623944,series,,,,,True,N/A
18,Try Harder!,2021,N/A,30 Jan 2021,85 min,Documentary,Debbie Lum,Spencer Nakasako,"Alvan Cai, Shealand Fairchild, Rachael Schmidt","At Lowell High School, the top public high school in San Francisco, the seniors are stressed out. As they prepare for the emotionally draining college application process, students are keenly aware of the intense competition for the few open spots in their dream colleges. At Lowell - where cool kids are nerds, nearly everyone has an amazing talent, and most of the student body is Asian American - the things that usually make a person stand out can feel commonplace. With humor and heart, director Debbie Lum captures the reality of the American college application process and the intersection of class, race, and educational opportunity as young adults navigate a quintessential rite of passage.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNGJjODg5YWYtODc5MS00OTRiLTg1MDctOGRiYTdlZmZmNGM0XkEyXkFqcGdeQXVyOTM5NzYzNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,78,tt13648160,movie,N/A,"$27,815",N/A,N/A,True,
19,Torn,2021,N/A,02 Sep 2021,92 min,Documentary,Max Lowe,N/A,"Conrad Anker, Alex Lowe",Alex Lowe's ill-fated climb and his son's arduous journey to return to the spot where his father perished.,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNWVjODMwOTAtZjhhMS00NjUyLTg3NmMtZWJjNTY2NDU3NWZiXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,[],N/A,N/A,8,tt11876896,movie,N/A,N/A,N/A,N/A,True,
20,Flee,2021,PG-13,03 Dec 2021,90 min,"Documentary, Animation",Jonas Poher Rasmussen,"Amin Nawabi, Jonas Poher Rasmussen","Daniel Karimyar, Fardin Mijdzadeh, Milad Eskandari","An animated documentary telling the true story about a man's need to confront his past in order to truly have a future. Amin arrived as an unaccompanied minor in Denmark from Afghanistan. Today, at 36, he is a successful academic and is getting married to his long-time boyfriend. A secret he has been hiding for over 20 years threatens to ruin the life he has built for himself. For the first time, he is sharing his story with his close friend.","Danish, English, Dari, Russian, Swedish","Denmark, Sweden, Norway, France, United States, Slovenia, Estonia, Spain, Italy, Finland",26 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BMTBmYzU0NWQtMmE3NC00MTEyLWJlMDktOGIzYTlmZjJlNDZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.2,977,tt8430054,movie,N/A,N/A,N/A,N/A,True,
21,Listening to Kenny G,2021,N/A,02 Dec 2021,97 min,"Documentary, Music",Penny Lane,N/A,"Kenny G, James Gardiner","An examination of the most popular instrumentalist of all time, Kenny G, and why he is polarizing to so many.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BZDAyNGVjZDAtNjczMS00OTU4LWEzMjMtZTAxNDQ4MmVjOTc5XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Metacritic', 'Value': '85/100'}]",85,N/A,23,tt15174040,movie,N/A,N/A,N/A,N/A,True,
22,Citizen Ashe,2021,N/A,10 Dec 2021,94 min,Documentary,"Rex Miller, Sam Pollard",T.J. Volgare,"Johnnie Ashe, Stephanie Cookie Carson, Donald Dell",Explores the tennis career of Arthur Ashe and his impact on tennis and HIV activism.,English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BNzlhOTQyNDItNGExZC00ZDY5LTk4N2ItZmZjYzc1MDE3MjRiXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_SX300.jpg,"[{'Source': 'Metacritic', 'Value': '77/100'}]",77,N/A,9,tt7972668,movie,N/A,N/A,N/A,N/A,True,
23,The Advent Calendar,2021,N/A,01 Dec 2021,104 min,"Horror, Thriller",Patrick Ridremont,Patrick Ridremont,"Eugénie Derouand, Honorine Magnier, Clément Olivieri","Eva, an ex-dancer, is now living in a wheelchair, unable to walk. when her friend Sophie gives her an old wooden antique advent calendar before Christmas, she realizes each window contains a surprise that triggers repercussions in real life: some of them good, but most of them bad - Now Eva will have to choose between getting rid of the calendar or walking again - even if it causes death around her.",French,"France, Belgium",N/A,https://m.media-amazon.com/images/M/MV5BZDc5NjE5ZGQtOWU1MS00MmVkLTg2MWMtNzBjNTVhMTIxMDZlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,292,tt12496706,movie,N/A,N/A,N/A,N/A,True,
24,Single All the Way,2021,N/A,02 Dec 2021,99 min,"Comedy, Drama, Romance",Michael Mayer,Chad Hodge,"Kathy Najimy, Barry Bostwick, Jennifer Coolidge","Desperate to avoid his family's judgment about his perpetual single status, Peter (Michael Urie) convinces his best friend Nick (Philemon Chambers) to join him for the holidays and pretend that they're now in a relationship. But when Peter's mother (Kathy Najimy) sets him up on a blind date with her handsome trainer James (Luke Macfarlane) the plan goes awry.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTYzOWQ0ZTItMzU2OC00YmMyLWIzMGYtMTk1ZjcwNGIxYThjXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14315756,movie,N/A,N/A,N/A,N/A,True,
25,Red Pill,2021,N/A,12 Mar 2021,87 min,"Comedy, Horror, Thriller",Tonya Pinkins,Tonya Pinkins,"Rubén Blades, Catherine Curtin, Kathryn Erbe","The eve of the 2020 election, a posse of progressives ride into red country armed with heart, humor, and naiveté. They should have brought heavy artillery",English,United States,22 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BZjliMDI3OGEtODg2MC00NGU3LWI5NDMtNzIzZWE3NDA3NjM0XkEyXkFqcGdeQXVyMjAzNjIxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,68,tt11279862,movie,N/A,N/A,N/A,N/A,True,
26,Wolf,2021,R,03 Dec 2021,98 min,"Drama, Mystery, Thriller",Nathalie Biancheri,Nathalie Biancheri,"Lily-Rose Depp, George MacKay, Paddy Considine","Jacob, a man who believes he is a wolf trapped in a human body, is sent to a clinic by his family where he is forced to undergo increasingly extreme forms of ""curative"" therapies at the hands of The Zookeeper. Jacob's only solace is the enigmatic wildcat with whom he roams the hospital in the dead of night. The two form an improbable friendship that develops into infatuation.",English,"Ireland, United Kingdom, Poland",N/A,https://m.media-amazon.com/images/M/MV5BMGNhNjBjZGQtYTU1Mi00NmQxLTgwZTktM2QyOGI3OTMwMmMxXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,346,tt10698174,movie,N/A,N/A,N/A,N/A,True,
27,Silent Night,2021,N/A,03 Dec 2021,92 min,"Comedy, Drama, Horror",Camille Griffin,Camille Griffin,"Annabelle Wallis, Matthew Goode, Keira Knightley","Nell, Simon, and their son Art are ready to welcome friends and family for what promises to be a perfect Christmas gathering. Perfect except for one thing: everyone is going to die.",English,United Kingdom,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDE1NWVjODItYTM0MS00MGJjLTkzMjctNTJjZjkwZDExYzNhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.5,404,tt11628854,movie,N/A,N/A,N/A,N/A,True,
28,Benedetta,2021,N/A,03 Dec 2021,131 min,"Biography, Drama, History",Paul Verhoeven,"David Birke, Paul Verhoeven, Judith C. Brown","Virginie Efira, Charlotte Rampling, Daphne Patakia","A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.","French, Latin","France, Belgium, Netherlands",4 nominations,https://m.media-amazon.com/images/M/MV5BNGRiMmEzOTYtYThjZC00ZDk3LThmN2YtNzYxY2FjZWYyMjU0XkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.7,"2,466",tt6823148,movie,N/A,N/A,N/A,N/A,True,
29,14 Peaks: Nothing Is Impossible,2021,N/A,29 Nov 2021,101 min,"Documentary, Adventure, Sport",Torquil Jones,"Gabriel Clarke, Torquil Jones",N/A,"Fearless Nepali mountaineer Nimsdai Purja embarks on a seemingly impossible quest to summit all 14 of the world's 8,000-meter peaks in seven months.",English,N/A,1 nomination,https://m.media-amazon.com/images/M/MV5BMDBhNzZhMWUtNjkwNi00YjZmLTg5YjUtZWJhYTgwZTNjYjQ4XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt14079374,movie,N/A,N/A,N/A,N/A,True,
30,The Power of the Dog,2021,R,01 Dec 2021,126 min,"Drama, Romance, Western",Jane Campion,"Jane Campion, Thomas Savage","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons","Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past and in the land: He can castrate a bull calf with two swift slashes of his knife; he swims naked in the river, smearing his body with mud. He is a cowboy as raw as his hides. The year is 1925. The Burbank brothers are wealthy ranchers in Montana. At the Red Mill restaurant on their way to market, the brothers meet Rose, the widowed proprietress, and her impressionable son Peter. Phil behaves so cruelly he drives them both to tears, revelling in their hurt and rousing his fellow cowhands to laughter - all except his brother George, who comforts Rose then returns to marry her. As Phil swings between fury and cunning, his taunting of Rose takes an eerie form - he hovers at the edges of her vision, whistling a tune she can no longer play. His mockery of her son is more overt, amplified by the cheering of Phil's cowhand disciples. Then Phil appears to take the boy under his wing. Is this latest gesture a softening that leaves Phil exposed, or a plot twisting further into menace?",English,"United Kingdom, Australia, United States, Canada, New Zealand",5 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,6.9,"5,186",tt10293406,movie,N/A,N/A,N/A,N/A,True,
31,The Summit of the Gods,2015,N/A,N/A,12 min,"Short, Adventure, Drama",Renzo Zanelli,"Brus Rubio Churay, Renzo Zanelli","Annika Beaulieu, Brus Rubio Churay, Renzo Zanelli","Burusu, an indigenous traveler takes a spiritual pilgrimage to honor his ancestors in this cinematic 4k short filmed in Joshua Tree National Monument.",N/A,United States,N/A,N/A,[],N/A,N/A,N/A,tt5030456,movie,N/A,N/A,N/A,N/A,True,
32,Writing with Fire,2021,N/A,26 Nov 2021,92 min,Documentary,"Sushmit Ghosh, Rintu Thomas",N/A,"Meera Devi, Shyamkali Devi, Suneeta Prajapati","In a cluttered news landscape dominated by men, emerges India's only newspaper run by Dalit women. Chief Reporter Meera and her journalists break traditions, redefining what it means to be powerful.",Hindi,India,22 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BZmIzMDY5OWQtMTM4Yi00OTY3LWE0MTgtNGI3ODFiY2M0OTkzXkEyXkFqcGdeQXVyNDU0NjMyNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.0,238,tt13630174,movie,N/A,N/A,N/A,N/A,True,
33,Bruised,2021,N/A,11 Jun 2021,N/A,Short,Andrew Essig,N/A,"Isabelle Abel, Natasha Kalimada",N/A,English,United States,N/A,N/A,[],N/A,N/A,N/A,tt15407686,movie,N/A,N/A,N/A,N/A,True,
34,Licorice Pizza,2021,R,25 Dec 2021,133 min,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Bradley Cooper, Maya Rudolph, Skyler Gisondo","LICORICE PIZZA is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMGU4NzhkZDAtZmIyNi00ZGE2LWE2ODMtMGNiNjc3MTQxOTU1XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11271038,movie,N/A,N/A,N/A,N/A,True,
35,Burning,2021,N/A,26 Nov 2021,86 min,Documentary,Eva Orner,N/A,"Bruce Pascoe, Rachel Mounsey, Rebecca Mcgowan","Looks at the deadly Australian bushfires of 2019-2020, known as 'Black Summer'. An exploration of what happened as told from the perspective of victims of the fires, activists and scientists.",N/A,Australia,1 nomination,https://m.media-amazon.com/images/M/MV5BZDczMGZhODgtMjhjZi00MjM2LTk3ZGItYzdlZDk3MTYyMmE1XkEyXkFqcGdeQXVyMTMyMDYyNTA0._V1_SX300.jpg,[],N/A,N/A,27,tt14671620,movie,N/A,N/A,N/A,N/A,True,
36,Drive My Car,2021,N/A,24 Nov 2021,179 min,Drama,Ryûsuke Hamaguchi,"Ryûsuke Hamaguchi, Haruki Murakami, Takamasa Oe","Hidetoshi Nishijima, Tôko Miura, Reika Kirishima","Adapted from a short story in Murakami Haruki's ""Men Without Women"". A director's wife was a playwright, but she died two years ago. When he's invited to direct a play at a festival in Hiroshima, the director finds his chauffeur to be a stoic woman. The two share many rides, and as communication is initiated secrets and confessions are gradually exchanged.","Japanese, English, Korean Sign , German, Mandarin, Tagalog, Korean, Indonesian",Japan,8 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BNmZlZTRhZDMtOGZlMy00YmYxLTk5MmEtMTJjMjk3OTJhODJiXkEyXkFqcGdeQXVyODA0MjgyNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,7.9,"1,838",tt14039582,movie,N/A,"$13,775",N/A,N/A,True,
